* S              BETX           BETY           DX             NAME            
$ %e             %e             %e             %e             %16s            
@ XIY              %e   -.118682    
@ XIX              %e   0.433549E-01
@ QY               %e    2.97407    
@ QX               %e    2.33312    
@ CIRCUM           %le     19.7857999207    
@ DELTA            %e    0.00000    
@ TYPE             %08s "OPTICS"
@ COMMENT          %04s " "
@ ORIGIN           %28s "MAD 8.23dl  Windows NT 4.0"
@ DATE             %08s "09/04/18"
@ TIME             %08s "15.17.50"
     17.0825        1.36151        22.3537       0.777997     "S1_PIP09_MS1025
     17.0825        1.36151        22.3537       0.777997     "COLLIMATOR_N70"
     17.0825        1.36151        22.3537       0.777997     "COLLIMATOR_N71"
     17.0976        1.28299        18.2672       0.760297     "S1_PIP09_2"    
     17.0976        1.28299        18.2672       0.760297     "COLLIMATOR_N71"
     17.0976        1.28299        18.2672       0.760297     "IS1BPM05"      
     17.0976        1.28299        18.2672       0.760297     "COLLIMATOR_N72"
     17.1325        1.11187        10.4044       0.719421     "S1_PIP09_3"    
     17.1325        1.11187        10.4044       0.719421     "COLLIMATOR_N72"
     17.3539       0.382175        15.3556       0.531466     "MS1DIP06"      
     17.3539       0.382175        15.3556       0.531466     "COLLIMATOR_N73"
     17.4799       0.194495        58.4420       0.454219     "S1_PIP10_1"    
     17.4799       0.194495        58.4420       0.454219     "COLLIMATOR_N73"
     17.5669       0.173599        104.398       0.400883     "S1_PIP10_MS1026
     17.5739       0.175889        108.603       0.396719     "S1_PIP10_MS1027
     17.5739       0.175889        108.603       0.396719     "COLLIMATOR_N74"
     17.7669       0.634427        171.025       0.376594     "S1_PIP10_MS1028
     17.7669       0.634427        171.025       0.376594     "COLLIMATOR_N74"
     17.7669       0.634427        171.025       0.376594     "COLLIMATOR_N75"
     17.9820        2.28413        158.727       0.453972     "S1_PIP10_2"    
     17.9820        2.28413        158.727       0.453972     "COLLIMATOR_N75"
     17.9820        2.28413        158.727       0.453972     "IS1BPM06"      
     17.9820        2.28413        158.727       0.453972     "COLLIMATOR_N76"
     18.0169        2.65531        156.775       0.466521     "S1_PIP10_3"    
     18.0169        2.65531        156.775       0.466521     "COLLIMATOR_N76"
     18.2377        5.60172        126.336       0.505717     "MS1DIP07"      
     18.2377        5.60172        126.336       0.505717     "COLLIMATOR_N77"
     18.4507        9.58968        86.8825       0.506302     "S1_PIP11_1"    
     18.4507        9.58968        86.8825       0.506302     "COLLIMATOR_N77"
     18.5377        11.5286        72.8860       0.506540     "S1_PIP11_MS1029
     18.5447        11.6887        71.8368       0.506477     "S1_PIP11_MS1030
     18.5447        11.6887        71.8368       0.506477     "COLLIMATOR_N78"
     18.7377        13.0348        61.1045       0.441096     "S1_PIP11_MS1031
     18.7377        13.0348        61.1045       0.441096     "COLLIMATOR_N78"
     18.7377        13.0348        61.1045       0.441096     "COLLIMATOR_N79"
     18.8211        12.2461        63.2667       0.387557     "S1_PIP11_2"    
     18.8211        12.2461        63.2667       0.387557     "COLLIMATOR_N79"
     18.8211        12.2461        63.2667       0.387557     "IS1SCR02"      
     18.8211        12.2461        63.2667       0.387557     "COLLIMATOR_N80"
     19.0492        10.2181        69.3806       0.240959     "S1_PIP11_3"    
     19.0492        10.2181        69.3806       0.240959     "COLLIMATOR_N80"
     19.2063        8.93369        73.7556       0.140008     "S1_PIP11_MS1032
     19.2063        8.93369        73.7556       0.140008     "COLLIMATOR_N81"
     19.3364        7.93880        77.4821       0.563722E-01 "S1_PIP11_4"    
     19.3364        7.93880        77.4821       0.563722E-01 "COLLIMATOR_N81"
     19.3364        7.93880        77.4821       0.563722E-01 "S1_MAR_END"    
     19.5593        4.92325        84.0769      -0.352972E-01 "MS1DPB08"      
     19.5593        4.92325        84.0769      -0.352972E-01 "FA_MATCH042"   
     19.5593        4.92325        84.0769      -0.352972E-01 "COLLIMATOR_N82"
     19.6628        3.27662        87.2318      -0.522956E-01 "S1_PIP12_1_1"  
     19.6628        3.27662        87.2318      -0.522956E-01 "COLLIMATOR_N82"
     19.7378        2.29549        89.5544      -0.646132E-01 "S1_PIP12_S11033
     19.7378        2.29549        89.5544      -0.646132E-01 "COLLIMATOR_N83"
     19.7858        1.76110        91.0569      -0.724965E-01 "S1_PIP12_1_2"  
     19.7858        1.76110        91.0569      -0.724965E-01 "COLLIMATOR_N83"
     19.7858        1.76110        91.0569      -0.724965E-01 "S1_MERGE_MA1034
     19.7858        1.76110        91.0569      -0.724965E-01 "FA_MAR_BEG_1"  
     19.7858        1.76110        91.0569      -0.724965E-01 "LINE_2"        
     19.7858        1.76110        91.0569      -0.724965E-01 "LAT"           
